City,State,Annual % Average Possible Sunshine,# of Data Years,Latitude,Longitude
Birmingham Ap,Alabama,58.0,34,33.5185892,-86.8103567
Boston,Massachusetts,58.0,61,42.3600825,-71.0588801
Harrisburg,Pennsylvania,58.0,62,40.2731911,-76.8867008
Lihue,Hawaii,58.0,51,21.9811111,-159.3711111
Majuro,Marshall Islands,58.0,42,7.1164214,171.1857736
Minneapolis-St.Paul,Minnesota,58.0,58,44.9374831,-93.20099979999999
Montgomery,Alabama,58.0,45,32.3792233,-86.3077368
New York C.Park,New York,58.0,109,40.76997220000001,-73.9829401
Paducah,Kentucky,58.0,18,37.0833893,-88.6000478
Port Arthur,Texas,58.0,26,29.8849504,-93.93994699999999
Providence,Rhode Island,58.0,42,41.8239891,-71.4128343
Raleigh,North Carolina,58.0,42,35.7795897,-78.6381787
Springfield,Illinois,58.0,48,39.78172130000001,-89.6501481
Baltimore,Maryland,57.0,40,39.2903848,-76.6121893
Birmingham,Alabama,57.0,10,33.5185892,-86.8103567
Chattanooga,Tennessee,57.0,65,35.0456297,-85.3096801
Fargo,North Dakota,57.0,54,46.8771863,-96.7898034
Middletown/Harrisburg Ap,Pennsylvania,57.0,62,40.199814,-76.7310806
New Orleans,Louisiana,57.0,22,29.95106579999999,-90.0715323
Portland,Maine,57.0,55,43.6590993,-70.2568189
St. Louis,Missouri,57.0,37,38.6270025,-90.19940419999999
Atlantic City Ap,New Jersey,56.0,36,39.3642834,-74.4229266
Columbia,Missouri,56.0,27,38.9517053,-92.3340724
Hartford,Connecticut,56.0,42,41.7658043,-72.6733723
Knoxville,Tennessee,56.0,57,35.9606384,-83.9207392
Louisville,Kentucky,56.0,48,38.2526647,-85.7584557
Nashville,Tennessee,56.0,54,36.1626638,-86.7816016
Peoria,Illinois,56.0,52,40.6936488,-89.5889864
Philadelphia,Pennsylvania,56.0,60,39.9525839,-75.1652215
Washington Nat'L Ap,D.C.,56.0,50,38.9040854,-77.0300891
Indianapolis,Indiana,55.0,53,39.768403,-86.158068
Missoula,Montana,55.0,57,46.8721284,-113.9940314
Moline,Illinois,55.0,53,41.5067003,-90.51513419999999
Yap,Federal States of Micronesia,55.0,43,9.5556503,138.1399232
Chicago,Illinois,54.0,16,41.8781136,-87.6297982
Concord,New Hampshire,54.0,58,43.2081366,-71.5375718
Green Bay,Wisconsin,54.0,53,44.5133188,-88.0132958
Madison,Wisconsin,54.0,50,43.0730517,-89.4012302
Milwaukee,Wisconsin,54.0,55,43.0389025,-87.9064736
Spokane,Washington,54.0,48,47.6587802,-117.4260465
Albany,New York,53.0,61,42.6525793,-73.7562317
Allentown,Pennsylvania,53.0,12,40.6022939,-75.4714098
Dayton,Ohio,53.0,53,39.7589478,-84.1916069
Detroit,Michigan,53.0,31,42.331427,-83.0457538
Blue Hill,Massachusetts,52.0,112,42.2120434,-71.11560639999999
Duluth,Minnesota,52.0,48,46.78667189999999,-92.1004852
Toledo,Ohio,52.0,41,41.6528052,-83.5378674
Avoca,Pennsylvania,51.0,41,41.3398022,-75.7363033
Eureka,California,51.0,84,40.8020712,-124.1636729
Koror,Palau,51.0,42,7.3410628,134.4771596
Lansing,Michigan,51.0,42,42.732535,-84.5555347
Rochester,New York,51.0,57,43.15657789999999,-77.6088465
Columbus,Ohio,50.0,45,39.9611755,-82.99879419999999
Greater Cincinnati Ap,Kentucky,50.0,13,39.1091274,-84.5222189
Marquette,Michigan,50.0,21,46.5436199,-87.3953713
Binghamton,New York,49.0,51,42.09868669999999,-75.91797380000001
Burlington,Vermont,49.0,59,44.4758825,-73.21207199999999
Cleveland,Ohio,49.0,59,41.49932,-81.6943605
Alpena,Michigan,48.0,37,45.0616794,-83.4327528
Buffalo,New York,48.0,59,42.88644679999999,-78.8783689
Portland,Oregon,48.0,46,45.5051064,-122.6750261
Chuuk,Federal States of Micronesia,47.0,42,7.1386759,151.5593065
Sault Ste. Marie,Michigan,47.0,55,46.49771150000001,-84.3475876
Seattle Sea-Tac Ap,Washington,47.0,30,47.4502499,-122.3088165
Grand Rapids,Michigan,46.0,36,42.9633599,-85.6680863
Guam,Guam,46.0,39,13.444304,144.793731
Syracuse,New York,46.0,53,43.0481221,-76.14742439999999
Pittsburgh,Pennsylvania,45.0,49,40.44062479999999,-79.9958864
Seattle,Washington,43.0,31,47.6062095,-122.3320708
Nome,Alaska,42.0,40,64.5011111,-165.4063889
Pago Pago,American Samoa,42.0,34,-14.2756319,-170.7020359
Anchorage,Alaska,41.0,40,61.2180556,-149.9002778
Hilo,Hawaii,41.0,52,19.7241106,-155.0868193
Pohnpei,Federal States of Micronesia,41.0,44,6.8541254,158.2623822
Elkins,West Virginia,40.0,11,38.92593970000001,-79.8467349
Mt. Washington,New Hampshire,33.0,64,44.27058539999999,-71.3032723
Quillayute,Washington,33.0,30,47.9431296,-124.5424346
Juneau,Alaska,30.0,33,58.3019444,-134.4197221
